_id,nombre,nivelRiesgo,descripcion,consecuencia,medidasPrevencion,peligroId,protocolos[0],protocolos[1],createdAt,updatedAt,numero,__v
6a317f64549e99d526034d5b,Resbalón en superficies húmedas,ALTO,Posibilidad de pérdida de estabilidad al transitar por superficies húmedas o resbaladizas.,"Contusiones, esguinces o fracturas.",Mantener superficies secas y utilizar calzado adecuado.,6a31761468345435c1d4d590,6a31c5d1f9be4a443a7621fa,6a31c5fef9be4a443a7621fb,2026-06-16T16:52:52.942Z,2026-07-01T16:15:37.276Z,1,0
6a3192a9549e99d526034d5d,Tropiezo por obstáculos,MEDIO,Presencia de objetos o desniveles que dificultan el tránsito seguro.,Caídas y lesiones musculares.,Mantener rutas despejadas y señalizadas.,6a31761468345435c1d4d590,6a31c5d1f9be4a443a7621fa,6a31cb03f9be4a443a762201,2026-06-16T18:15:05.578Z,2026-07-01T16:16:18.597Z,3,0
6a31964d549e99d526034d5e,Fatiga auditiva,MEDIO,Exposición continua a niveles elevados de ruido.,Disminución temporal de la capacidad auditiva.,Uso de protección auditiva.,6a31762368345435c1d4d591,6a31c5fef9be4a443a7621fb,,2026-06-16T18:30:37.192Z,2026-07-01T16:16:36.963Z,4,0
6a31968b549e99d526034d5f,Pérdida auditiva progresiva,ALTO,Exposición prolongada a ruido intenso.,Daño permanente de la audición.,Control de exposición y protección auditiva.,6a31762368345435c1d4d591,6a31c5fef9be4a443a7621fb,,2026-06-16T18:31:39.493Z,2026-07-01T16:16:54.857Z,5,0
6a3196e3549e99d526034d60,Intoxicación por inhalación,ALTO,Inhalación accidental de sustancias químicas.,"Mareo, náuseas o afectaciones respiratorias.",Uso de mascarillas y ventilación adecuada.,6a31762d68345435c1d4d592,6a31c652f9be4a443a7621fe,6a31c5fef9be4a443a7621fb,2026-06-16T18:33:07.201Z,2026-07-01T16:17:17.873Z,6,0
6a3196f7549e99d526034d61,Quemaduras químicas,ALTO,Contacto directo con sustancias corrosivas.,Lesiones en piel y tejidos.,Uso de guantes y elementos de protección personal.,6a31762d68345435c1d4d592,6a31c652f9be4a443a7621fe,6a31c5fef9be4a443a7621fb,2026-06-16T18:33:27.246Z,2026-07-01T16:17:38.988Z,7,0
6a319716549e99d526034d62,Contagio por microorganismos,ALTO,Contacto con agentes biológicos presentes en el entorno.,Infecciones y enfermedades.,Lavado de manos y uso de protección adecuada.,6a31763a68345435c1d4d593,6a31cae5f9be4a443a7621ff,6a31c5fef9be4a443a7621fb,2026-06-16T18:33:58.052Z,2026-07-01T16:17:56.091Z,8,0
6a319727549e99d526034d63,Exposición a fluidos biológicos,ALTO,Contacto accidental con fluidos contaminados.,Transmisión de enfermedades.,Uso de guantes y protocolos de bioseguridad.,6a31763a68345435c1d4d593,6a31cae5f9be4a443a7621ff,6a31c5fef9be4a443a7621fb,2026-06-16T18:34:15.186Z,2026-07-01T16:18:16.828Z,9,0
6a31973f549e99d526034d64,Cortes por herramientas manuales,MEDIO,Uso inadecuado de herramientas cortantes.,Heridas y laceraciones.,Capacitación y uso correcto de herramientas.,6a31764768345435c1d4d594,6a31c5fef9be4a443a7621fb,,2026-06-16T18:34:39.602Z,2026-07-01T16:18:36.237Z,10,0
6a31975f549e99d526034d65,Golpes por herramientas,MEDIO,Manipulación incorrecta o caída de herramientas.,Contusiones y lesiones físicas.,Inspección y almacenamiento seguro.,6a31764768345435c1d4d594,6a31c5fef9be4a443a7621fb,,2026-06-16T18:35:11.802Z,2026-07-01T16:18:54.438Z,11,0
